time,sample,cost,cp1x,cp1y,cp1z,cp2x,cp2y,cp2z,cp3x,cp3y,cp3z,cp4x,cp4y,cp4z
0.9,2,0.36216179755569305,7.53,14.2,1.3,7.504478361203104,15.037256233490167,1.2280592390416036,8.492762502480273,15.167252192153546,0.9748569208240657,9.210501986611225,14.877622701729825,0.9126860903970113
0.9,3,0.3975238022517958,7.53,14.2,1.3,7.764041336198115,14.876554569221419,1.5336838914142834,8.372372215782152,15.229166756081415,1.04821915450166,9.39808415168063,14.747015852038894,1.1006987497236846
1.0,1,0.4288109953500003,7.56,14.44,1.3,8.005,15.03,1.3,8.72,15.12,1.3,9.315,14.67,1.3
1.0,2,0.4288109953500003,7.56,14.44,1.3,8.005,15.03,1.3,8.72,15.12,1.3,9.315,14.67,1.3
1.0,3,0.5846710316177712,7.56,14.44,1.3,7.9913869265514315,15.073967869529758,0.7642988018618007,8.77147057663587,15.084128289147314,1.3686408147344713,9.490306019994412,14.556500273984339,1.3078671264129855
1.1,1,63.999984028243695,7.65,14.675,1.3,8.24,15.12,1.3,8.955,15.03,1.3,9.44,14.4,1.3
1.1,2,63.999984028243695,7.65,14.675,1.3,8.24,15.12,1.3,8.955,15.03,1.3,9.44,14.4,1.3
1.1,3,64.05236979370984,7.65,14.675,1.3,8.258977818827633,15.089933214609378,1.5116881182115083,8.933686078197661,15.05676300692629,1.1251958982652812,9.800044203439468,14.1736042564674,1.1098089888272002
1.2,1,0.3995151839874993,7.8,14.88,1.3,8.48,15.15,1.3,9.16,14.88,1.3,9.565,14.08,1.3
1.2,2,0.3995151839874993,7.8,14.88,1.3,8.48,15.15,1.3,9.16,14.88,1.3,9.565,14.08,1.3
1.2,3,0.49685059051390196,7.8,14.88,1.3,8.10150367286773,15.381864098088162,0.9416979911082625,9.527080903264268,14.638180892318541,1.4029930956413217,9.887180339599636,13.851632322131028,1.3422264878661057
1.3,1,0.3512889101499999,8.005,15.03,1.3,8.72,15.12,1.3,9.315,14.67,1.3,9.72,13.76,1.3
1.3,2,0.3512889101499999,8.005,15.03,1.3,8.72,15.12,1.3,9.315,14.67,1.3,9.72,13.76,1.3
1.3,3,0.3893151414881868,8.005,15.03,1.3,8.666250182557711,15.17108636542381,1.0378083956926993,9.691150169769113,14.400731864134569,1.539043587519015,10.018676608935404,13.529273641889862,1.4459853832023233
1.4,1,0.33701392378272416,8.24,15.12,1.3,9.120152188370277,14.939866141403115,1.1858114259529726,9.292568642023236,14.485227874150077,1.4106528514246908,10.144207040801172,13.325105051013617,1.345971356608852
1.4,2,0.3602492970375,8.24,15.12,1.3,8.955,15.03,1.3,9.44,14.4,1.3,9.93,13.49,1.3
1.4,3,0.3602492970375,8.24,15.12,1.3,8.955,15.03,1.3,9.44,14.4,1.3,9.93,13.49,1.3
1.5,1,0.3932644853119975,8.48,15.15,1.3,9.008268298975711,14.976002686808924,1.257157817602832,9.916171608121632,13.831265157614414,1.338383270234531,10.556398674365543,13.010882432018821,1.1695235645494926
1.5,2,0.39711458245972486,8.48,15.15,1.3,9.18726371158361,14.867104119674654,1.2543526571781987,9.506770591546799,14.098317373143484,1.5114182630302095,10.590291941395856,12.943625662338206,1.5481186353975234
1.5,3,0.40571080808749926,8.48,15.15,1.3,9.16,14.88,1.3,9.565,14.08,1.3,10.2,13.28,1.3
1.6,1,0.4703502824375003,8.72,15.12,1.3,9.315,14.67,1.3,9.72,13.76,1.3,10.53,13.13,1.3
1.6,2,0.4703502824375003,8.72,15.12,1.3,9.315,14.67,1.3,9.72,13.76,1.3,10.53,13.13,1.3
1.6,3,0.6097723924353393,8.72,15.12,1.3,9.270331432379864,14.727032157418043,0.9184791604628398,10.229861992983034,13.363604206072216,1.50665398415485,10.93808243509322,12.799240760888166,1.227024281717199
1.7,1,0.5279185468225925,8.955,15.03,1.3,9.353886915411833,14.449467096190912,1.3716049758525655,10.03715016938622,13.384514862396777,1.544467019871228,11.23303948179793,12.784455583309976,1.1638382356424608
1.7,2,0.5458854529375001,8.955,15.03,1.3,9.44,14.4,1.3,9.93,13.49,1.3,10.92,13.04,1.3
1.7,3,0.5458854529375001,8.955,15.03,1.3,9.44,14.4,1.3,9.93,13.49,1.3,10.92,13.04,1.3
1.8,1,0.5795056059499996,9.16,14.88,1.3,9.565,14.08,1.3,10.2,13.28,1.3,11.365,13.01,1.3
1.8,2,0.5795056059499996,9.16,14.88,1.3,9.565,14.08,1.3,10.2,13.28,1.3,11.365,13.01,1.3
1.8,3,0.6831244005004857,9.16,14.88,1.3,9.460384996005976,14.173825333304425,1.014601472659449,10.435341964143555,13.038865066022217,1.7832655106431041,11.676628214696679,12.758578900508432,0.9941544021176179
1.9,1,0.5688067549375017,9.315,14.67,1.3,9.72,13.76,1.3,10.53,13.13,1.3,11.84,13.04,1.3
1.9,2,0.5688067549375017,9.315,14.67,1.3,9.72,13.76,1.3,10.53,13.13,1.3,11.84,13.04,1.3
1.9,3,0.6528021380902274,9.315,14.67,1.3,9.8063849459215,13.666683192623562,1.6008075477284605,10.471640773286081,13.171677085000743,1.3488744506882047,11.914936651438742,12.969784030394909,1.317644412243116
2.0,1,0.5714325873374998,9.44,14.4,1.3,9.93,13.49,1.3,10.92,13.04,1.3,12.315,13.13,1.3
2.0,2,0.5714325873374998,9.44,14.4,1.3,9.93,13.49,1.3,10.92,13.04,1.3,12.315,13.13,1.3
2.0,3,0.591651004596952,9.44,14.4,1.3,9.921244534181968,13.468073700187956,1.5668113157843782,11.371118972972361,12.655051413772858,1.2350413018493134,12.43100045167968,13.03537816987882,1.1380987385048227
2.1,1,0.6074087135499997,9.565,14.08,1.3,10.2,13.28,1.3,11.365,13.01,1.3,12.76,13.28,1.3
2.1,2,0.6074087135499997,9.565,14.08,1.3,10.2,13.28,1.3,11.365,13.01,1.3,12.76,13.28,1.3
2.1,3,0.6499728666421415,9.565,14.08,1.3,10.064388862431198,13.354705068936616,1.564713822872956,11.426019537512325,12.963112223918015,1.2317158757172988,12.83802076680659,13.207234696179086,1.2728607430060415
2.2,1,0.7281847786714469,9.72,13.76,1.3,10.498602486282257,13.173090813999153,1.1030975664732494,12.194242417840151,12.745511990733497,0.8772547799907459,13.206528080656051,13.41924575884375,1.4940831029755208
2.2,2,0.7789294788946693,9.72,13.76,1.3,10.34481097034475,13.221981671493355,1.769713724456248,12.57039591324536,12.32214899521022,1.437703280967243,13.110435595723134,13.538567366023182,1.2427780035257796
2.2,3,0.7867487987269655,9.72,13.76,1.3,10.140631115471347,13.446754744619032,1.148994089627957,12.645968888689772,12.2729714881115,1.1708295000949254,13.006757354984172,13.639354265070958,1.2300826559445392
2.3,1,0.6289309806572889,9.93,13.49,1.3,11.034427305672358,12.92735739684718,1.4501188813379504,12.598016040992523,12.83209670624875,1.540587859349501,13.516302662961701,13.792085301007765,0.9433691604774612
2.3,2,0.6311918087300494,9.93,13.49,1.3,11.221590623372368,12.808550870135795,0.997461021085503,12.473149146868192,12.97312180316752,1.365571689865016,13.556613751364548,13.712598619981165,1.4088515477523578
2.3,3,0.633061248436013,9.93,13.49,1.3,11.288793971724411,12.739325806962837,1.1183508608702935,12.433230414886397,13.040734429045774,1.0488813095122047,13.710457235877241,13.584686545224661,1.132101519817644
2.4,1,0.7110846220388302,10.2,13.28,1.3,11.658636633517329,12.696556335249461,1.7282864558413706,12.714908511749961,13.340977701566691,1.1024588446415995,14.290161680827715,13.685630582972438,1.160385574803848
2.4,2,1.0367697163640799,10.2,13.28,1.3,11.825354840736555,12.5255626919489,1.8397247459134993,12.577117571914126,13.485163023673792,0.9124098899013822,14.322625558448234,13.662121165338087,1.029826381535557
